,state,act_2017_rate,act_2017_english,act_2017_math,act_2017_reading,act_2017_science,act_2017_composite,sat_2017_rate,sat_2017_ebrw,sat_2017_math,sat_2017_total,act_2018_rate,act_2018_composite,sat_2018_rate,sat_2018_ebrw,sat_2018_math,sat_2018_total,act_2019_rate,act_2019_composite,sat_2019_rate,sat_2019_ebrw,sat_2019_math,sat_2019_total,cr_17,cr_18,cr_19,cr_20,rep_lean,dem_lean,nominalgdp_percapita_20,v_religious,moderately_religious,religious,poverty_rate,burglary_per_100K
0,Alabama,1.0,18.9,18.4,19.7,19.4,19.2,0.05,593,572,1165,1.0,19.1,0.06,595,571,1166,1.0,18.9,0.07,583,560,1143,522.4,523.1,504.7,453.6,0.35,0.52,45155.0,0.54,0.29,0.83,0.149,819.0
1,Alaska,0.65,18.7,19.8,20.4,19.9,19.8,0.38,547,533,1080,0.33,20.8,0.43,562,544,1106,0.38,20.1,0.41,556,541,1097,856.7,891.7,865.0,837.8,0.33,0.51,68019.0,0.28,0.25,0.53,0.133,427.6
2,Arizona,0.62,18.6,19.8,20.1,19.8,19.7,0.3,563,553,1116,0.66,19.2,0.29,577,572,1149,0.73,19.0,0.31,569,565,1134,505.7,475.7,447.1,654.8,0.41,0.41,52065.0,0.31,0.31,0.62,0.108,647.1
3,Arkansas,1.0,18.9,19.0,19.7,19.5,19.4,0.03,614,594,1208,1.0,19.4,0.05,592,576,1169,1.0,19.3,0.06,582,559,1141,566.0,561.6,580.8,671.9,0.35,0.48,43407.0,0.5,0.3,0.8,0.142,835.7
4,California,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055,0.27,22.7,0.6,540,536,1076,0.23,22.6,0.63,534,531,1065,453.3,447.5,442.1,442.0,0.51,0.31,76132.0,0.29,0.3,0.59,0.11,522.3
5,Colorado,1.0,20.1,20.3,21.2,20.9,20.8,0.11,606,595,1201,0.3,23.9,1.0,519,506,1025,0.27,23.8,1.0,518,506,1024,372.2,401.5,384.6,423.1,0.47,0.4,66142.0,0.3,0.27,0.57,0.095,438.2
6,Connecticut,0.31,25.5,24.6,25.6,24.6,25.2,1.0,530,512,1041,0.26,25.6,1.0,535,519,1053,0.22,25.5,1.0,529,516,1046,229.2,209.6,184.6,181.6,0.52,0.33,76779.0,0.29,0.29,0.58,0.112,332.4
7,Delaware,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,996,0.17,23.8,1.0,505,492,998,0.13,24.1,1.0,499,486,985,457.3,422.5,422.7,431.9,0.48,0.35,76406.0,0.35,0.31,0.66,0.105,616.5
8,District of Columbia,0.32,24.4,23.5,24.9,23.5,24.2,1.0,482,468,950,0.32,23.6,0.92,497,480,977,0.32,23.5,0.94,495,480,975,,,,,,,,,,,,
9,Florida,0.73,19.0,19.4,21.0,19.4,19.8,0.83,520,497,1017,0.66,19.9,0.56,550,549,1099,0.54,20.1,1.0,516,483,999,408.1,385.9,378.2,383.6,0.42,0.41,51277.0,0.35,0.32,0.67,0.132,719.9
10,Georgia,0.55,21.0,20.9,22.0,21.3,21.4,0.61,535,515,1050,0.53,21.4,0.7,542,522,1064,0.49,21.4,0.71,538,519,1058,356.5,338.9,326.2,400.1,0.43,0.42,58050.0,0.44,0.33,0.77,0.132,756.9
11,Hawaii,0.9,17.8,19.2,19.2,19.3,19.0,0.55,544,541,1085,0.89,18.9,0.56,480,530,1010,0.8,19.0,0.54,550,550,1100,251.2,255.0,264.5,254.2,0.54,0.29,57087.0,0.28,0.27,0.55,0.109,547.9
12,Idaho,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1005,0.36,22.3,1.0,508,493,1001,0.31,22.5,1.0,505,488,993,239.2,239.7,232.6,242.6,0.34,0.5,45364.0,0.39,0.24,0.63,0.092,393.3
13,Illinois,0.93,21.0,21.2,21.6,21.3,21.4,0.09,559,556,1115,0.43,23.9,0.99,513,506,1019,0.35,24.3,1.0,509,504,1013,436.2,411.4,415.3,425.9,0.5,0.34,67137.0,0.35,0.29,0.64,0.08,388.2
14,Indiana,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074,0.32,22.5,0.63,542,532,1074,0.29,22.5,0.66,543,537,1080,395.0,373.5,371.5,357.7,0.38,0.46,55313.0,0.42,0.27,0.69,0.12,559.3
15,Iowa,0.67,21.2,21.3,22.6,22.1,21.9,0.02,641,635,1275,0.68,21.8,0.03,634,631,1265,0.66,21.6,0.03,622,622,1244,287.5,263.7,287.6,303.5,0.42,0.42,60924.0,0.37,0.3,0.67,0.09,464.4
16,Kansas,0.73,21.1,21.3,22.3,21.7,21.7,0.04,632,628,1260,0.71,21.6,0.04,633,631,1265,0.72,21.2,0.04,618,623,1241,400.4,441.8,405.5,425.0,0.36,0.47,59656.0,0.44,0.27,0.71,0.091,545.0
17,Kentucky,1.0,19.6,19.4,20.5,20.1,20.0,0.04,631,616,1247,1.0,20.2,0.04,630,618,1248,1.0,19.8,0.04,620,612,1232,231.1,217.9,220.7,259.1,0.42,0.45,47190.0,0.45,0.2,0.65,0.139,526.7
18,Louisiana,1.0,19.4,18.8,19.8,19.6,19.5,0.04,611,586,1198,1.0,19.2,0.04,615,595,1210,1.0,18.8,0.05,610,591,1200,556.3,543.3,559.7,639.4,0.37,0.45,50619.0,0.52,0.31,0.83,0.154,824.5
19,Maine,0.08,24.2,24.0,24.8,23.7,24.3,0.95,513,499,1012,0.07,24.0,0.99,512,501,1013,0.06,24.3,0.99,512,502,1013,120.6,112.0,116.1,108.6,0.5,0.37,50850.0,0.22,0.22,0.44,0.08,378.2
20,Maryland,0.28,23.3,23.1,24.2,23.8,23.6,0.69,536,524,1060,0.31,22.5,0.76,545,535,1080,0.28,22.3,0.82,535,523,1058,503.3,469.4,454.4,399.9,0.54,0.31,66531.0,0.36,0.32,0.68,0.092,468.7
21,Massachusetts,0.29,25.4,25.3,25.9,24.7,25.4,0.76,555,551,1107,0.25,25.5,0.8,562,563,1125,0.21,25.5,0.81,559,561,1120,354.3,340.3,328.7,308.8,0.56,0.27,82948.0,0.26,0.26,0.52,0.084,370.1
22,Michigan,0.29,24.1,23.7,24.5,23.8,24.1,1.0,509,495,1005,0.22,24.2,1.0,511,499,1011,0.19,24.4,1.0,507,496,1003,449.9,452.5,438.6,478.0,0.45,0.39,51166.0,0.36,0.29,0.65,0.111,445.9
23,Minnesota,1.0,20.4,21.5,21.8,21.6,21.5,0.03,644,651,1295,0.99,21.3,0.04,643,655,1298,0.95,21.4,0.04,636,648,1284,239.7,221.2,237.5,277.5,0.46,0.38,65486.0,0.37,0.28,0.65,0.084,380.7
24,Mississippi,1.0,18.2,18.1,18.8,18.8,18.6,0.02,634,607,1242,1.0,18.6,0.03,630,606,1236,1.0,18.4,0.03,628,608,1237,256.2,266.0,261.2,291.2,0.36,0.48,38502.0,0.59,0.29,0.88,0.175,813.3
25,Missouri,1.0,19.8,19.9,20.8,20.5,20.4,0.03,640,631,1271,1.0,20.0,0.04,633,629,1262,0.82,20.8,0.04,622,615,1236,531.2,501.4,499.6,542.7,0.38,0.47,53517.0,0.39,0.3,0.69,0.106,581.5
26,Montana,1.0,19.0,20.2,21.0,20.5,20.3,0.1,605,591,1196,1.0,20.0,0.1,606,592,1198,1.0,19.8,0.09,603,596,1199,373.9,380.9,417.9,469.8,0.39,0.46,47421.0,0.32,0.29,0.61,0.11,351.2
27,Nebraska,0.84,20.9,20.9,21.9,21.5,21.4,0.03,629,625,1253,1.0,20.1,0.03,629,623,1252,1.0,20.0,0.03,628,631,1260,311.8,289.9,304.6,334.1,0.42,0.43,68031.0,0.46,0.29,0.75,0.083,422.5
28,Nevada,1.0,16.3,18.0,18.1,18.2,17.8,0.26,563,553,1116,1.0,17.7,0.23,574,566,1140,1.0,17.9,0.2,580,576,1156,560.6,552.1,496.1,460.3,0.45,0.38,54894.0,0.26,0.33,0.59,0.129,772.3
29,New Hampshire,0.18,25.4,25.1,26.0,24.9,25.5,0.96,532,520,1052,0.16,25.1,0.96,535,528,1063,0.14,25.0,0.95,533,526,1059,195.7,177.6,158.1,146.4,0.48,0.36,63593.0,0.23,0.26,0.49,0.062,313.7
30,New Jersey,0.34,23.8,23.8,24.1,23.2,23.9,0.7,530,526,1056,0.31,23.7,0.82,547,547,1094,0.25,24.2,0.82,544,545,1090,231.8,208.6,206.7,195.4,0.5,0.35,66659.0,0.35,0.32,0.67,0.082,354.8
31,New Mexico,0.66,18.6,19.4,20.4,20.0,19.7,0.11,577,561,1138,0.67,19.4,0.16,552,540,1093,0.63,19.3,0.18,543,530,1073,778.6,842.8,824.0,778.3,0.48,0.38,46502.0,0.38,0.26,0.64,0.165,887.3
32,New York,0.31,23.8,24.0,24.6,23.9,24.2,0.67,528,523,1052,0.27,24.5,0.79,534,534,1068,0.22,24.5,0.79,531,533,1064,361.1,350.8,361.0,363.8,0.53,0.3,85575.0,0.31,0.29,0.6,0.118,257.2
33,North Carolina,1.0,17.8,19.3,19.6,19.3,19.1,0.49,546,535,1081,1.0,19.1,0.52,554,543,1098,1.0,19.0,0.51,554,546,1100,370.4,356.2,378.7,419.3,0.41,0.42,56404.0,0.46,0.31,0.77,0.137,798.2
34,North Dakota,0.98,19.0,20.4,20.5,20.6,20.3,0.02,635,621,1256,0.98,20.3,0.02,640,643,1283,0.96,19.9,0.02,627,636,1263,282.5,284.1,301.4,329.0,0.3,0.55,70420.0,0.4,0.31,0.71,0.107,366.1
35,Ohio,0.75,21.2,21.6,22.5,22.0,22.0,0.12,578,570,1149,1.0,20.3,0.18,552,547,1099,1.0,20.0,0.19,550,548,1097,296.8,294.8,296.0,308.8,0.41,0.45,57466.0,0.37,0.3,0.67,0.127,680.0
36,Oklahoma,1.0,18.5,18.8,20.1,19.6,19.4,0.07,530,517,1047,1.0,19.3,0.08,541,521,1062,1.0,18.9,0.22,490,472,963,457.4,474.6,436.3,458.6,0.38,0.46,47465.0,0.45,0.3,0.75,0.155,760.9
37,Oregon,0.4,21.2,21.5,22.4,21.7,21.8,0.43,560,548,1108,0.42,21.3,0.48,564,553,1117,0.42,21.1,0.51,562,550,1112,280.4,290.4,293.7,291.9,0.47,0.38,57474.0,0.28,0.25,0.53,0.094,434.0
38,Pennsylvania,0.23,23.4,23.4,24.2,23.3,23.7,0.65,540,531,1071,0.2,23.5,0.7,547,539,1086,0.17,23.6,0.7,545,537,1082,313.0,305.4,306.0,389.5,0.46,0.4,59424.0,0.36,0.3,0.66,0.106,357.5
39,Rhode Island,0.21,24.0,23.3,24.7,23.4,24.0,0.71,539,524,1062,0.15,24.2,0.97,513,505,1018,0.12,24.7,1.0,503,492,995,234.2,219.8,222.7,230.8,0.43,0.36,55241.0,0.32,0.29,0.61,0.085,457.1
40,South Carolina,1.0,17.5,18.6,19.1,18.9,18.7,0.5,543,521,1064,1.0,18.3,0.55,547,523,1070,0.78,18.8,0.68,526,504,1030,506.1,500.8,510.1,530.7,0.37,0.47,47728.0,0.5,0.3,0.8,0.133,759.9
41,South Dakota,0.8,20.7,21.5,22.3,22.0,21.8,0.03,612,603,1216,0.77,21.9,0.03,622,618,1240,0.75,21.6,0.03,633,635,1268,429.8,396.4,397.1,501.4,0.4,0.51,61762.0,0.37,0.3,0.67,0.116,330.3
42,Tennessee,1.0,19.5,19.2,20.1,19.9,19.8,0.05,623,604,1228,1.0,19.6,0.06,624,607,1231,1.0,19.4,0.07,618,602,1220,655.0,630.4,598.9,672.7,0.35,0.48,53406.0,0.49,0.3,0.79,0.132,712.2
43,Texas,0.45,19.5,20.7,21.1,20.9,20.7,0.62,513,507,1020,0.45,20.7,0.66,520,512,1032,0.39,20.5,0.68,515,507,1022,437.8,412.9,421.8,446.5,0.39,0.42,60771.0,0.43,0.32,0.75,0.14,627.8
44,Utah,1.0,19.5,19.9,20.8,20.6,20.3,0.03,624,614,1238,1.0,20.4,0.04,480,530,1010,1.0,20.3,0.04,614,615,1230,242.2,239.4,236.9,260.7,0.28,0.56,60201.0,0.54,0.16,0.7,0.074,391.4
45,Vermont,0.29,23.3,23.1,24.4,23.2,23.6,0.6,562,551,1114,0.24,24.1,0.64,565,554,1120,0.2,24.1,0.66,560,546,1106,173.3,185.0,207.2,173.4,0.55,0.3,52039.0,0.16,0.26,0.42,0.086,324.6
46,Virginia,0.29,23.5,23.3,24.6,23.5,23.8,0.65,561,541,1102,0.24,23.9,0.68,567,550,1117,0.21,24.0,0.68,567,551,1119,210.4,204.2,209.4,208.0,0.46,0.39,63662.0,0.38,0.3,0.68,0.078,277.7
47,Washington,0.29,20.9,21.9,22.1,22.0,21.9,0.64,541,534,1075,0.24,22.2,0.69,543,538,1081,0.24,22.1,0.7,539,535,1074,302.8,315.3,303.3,293.7,0.5,0.35,78284.0,0.26,0.28,0.54,0.083,783.0
48,West Virginia,0.69,20.0,19.4,21.2,20.5,20.4,0.14,558,528,1086,0.65,20.3,0.28,513,486,999,0.49,20.8,0.99,483,460,943,361.2,299.9,318.9,355.9,0.37,0.49,42382.0,0.38,0.3,0.68,0.141,484.9
49,Wisconsin,1.0,19.7,20.4,20.6,20.9,20.5,0.03,642,649,1291,1.0,20.5,0.03,641,653,1294,1.0,20.3,0.03,635,648,1283,321.8,299.0,297.1,323.4,0.43,0.43,57314.0,0.35,0.3,0.65,0.08,368.5
50,Wyoming,1.0,19.4,19.8,20.8,20.6,20.2,0.03,626,604,1230,1.0,20.0,0.03,633,625,1257,1.0,19.8,0.03,623,615,1238,234.6,213.8,215.0,234.2,0.25,0.59,62923.0,0.36,0.26,0.62,0.098,289.1
