Id,Lot Frontage,Lot Area,Overall Cond,Year Remod/Add,Mas Vnr Area,Exter Cond,Bsmt Qual,Bsmt Exposure,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Fireplace Qu,Garage Finish,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,SalePrice,TotalBathroom,isNew,Mas Vnr Type_BrkFace,Mas Vnr Type_Stone,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_None,MS Zoning_FV,MS Zoning_RM,Neighborhood_Blmngtn,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Exterior 1st_AsbShng,Exterior 1st_BrkFace,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_BrkFace,Exterior 2nd_HdBoard,Exterior 2nd_Plywood,Exterior 2nd_Stucco,Exterior 2nd_Wd Shng,Foundation_BrkTil,Foundation_PConc,Foundation_Slab,MS SubClass_20,MS SubClass_30,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_80,MS SubClass_85,MS SubClass_120,MS SubClass_160,MS SubClass_190
109,69.05520046484602,13517,8,2005,289.0,0,0.0,0,533.0,0.0,192.0,0,1479,3,1,0,2,475.0,0,44,0,0,0,0,0,3,130500,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
544,43.0,11492,5,1997,132.0,0,2.0,0,637.0,0.0,276.0,0,2122,4,1,3,2,559.0,0,74,0,0,0,0,0,4,220000,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
153,68.0,7922,7,2007,0.0,1,0.0,0,731.0,0.0,326.0,0,1057,3,1,0,1,246.0,0,52,0,0,0,0,0,1,109000,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
318,73.0,9802,5,2007,0.0,0,2.0,0,0.0,0.0,384.0,0,1444,3,1,0,3,400.0,100,0,0,0,0,0,0,4,174000,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
255,82.0,14235,8,1993,0.0,0,-0.25,0,0.0,0.0,676.0,0,1445,3,1,0,1,484.0,0,59,0,0,0,0,0,3,138500,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
138,137.0,16492,6,2002,0.0,0,0.0,0,247.0,713.0,557.0,0,1888,2,1,4,3,578.0,0,0,0,0,0,0,0,6,190000,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2827,35.0,3675,5,2006,82.0,0,2.0,3,547.0,0.0,0.0,0,1072,2,1,0,3,525.0,0,44,0,0,0,0,0,6,140000,3.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,69.05520046484602,12160,5,1959,180.0,0,0.0,0,1000.0,0.0,188.0,0,1188,3,1,0,2,531.0,0,0,0,0,0,0,0,5,142000,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1942,69.05520046484602,15783,5,1952,0.0,0,0.0,0,292.0,0.0,632.0,0,924,2,1,0,1,420.0,0,324,0,0,0,0,400,6,112500,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1956,70.0,11606,5,1969,192.0,0,2.0,2,650.0,0.0,390.0,0,2080,5,1,3,1,504.0,335,0,0,0,0,0,0,9,135000,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1044,21.0,1680,5,1971,232.0,0,0.0,0,387.0,0.0,96.0,0,987,2,1,0,1,264.0,0,0,0,0,0,0,0,7,85400,2.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2752,64.0,7488,5,2005,0.0,0,2.0,2,393.0,0.0,815.0,0,1208,2,1,0,2,632.0,105,58,0,0,0,0,0,2,183600,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
807,120.0,26400,7,2007,0.0,0,-0.5,0,0.0,0.0,0.0,0,2016,4,1,3,1,576.0,0,0,0,0,0,0,0,6,131000,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1177,24.0,2645,5,2000,456.0,0,2.0,0,813.0,0.0,147.0,0,1607,3,1,0,1,480.0,169,0,0,0,0,0,0,12,200000,4.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1480,74.0,9627,5,2007,0.0,0,2.0,2,24.0,0.0,1327.0,0,1361,3,1,0,2,610.0,0,50,0,0,0,0,0,6,193000,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
324,93.0,10114,5,2005,0.0,0,4.0,2,0.0,0.0,1430.0,0,1430,3,1,0,2,624.0,0,0,0,0,0,0,0,3,173500,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
